     JOBID  PARTITION                                                                         NAME     USER   STATE           TIME
    253223   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=551_seed2=575_random  aronton PENDING           0:00
    253224   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=576_seed2=600_random  aronton PENDING           0:00
    253225   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=601_seed2=625_random  aronton PENDING           0:00
    253226   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=626_seed2=650_random  aronton PENDING           0:00
    253227   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=651_seed2=675_random  aronton PENDING           0:00
    253228   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=676_seed2=700_random  aronton PENDING           0:00
    253229   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=701_seed2=725_random  aronton PENDING           0:00
    253230   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=726_seed2=750_random  aronton PENDING           0:00
    253231   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=751_seed2=775_random  aronton PENDING           0:00
    253232   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=776_seed2=800_random  aronton PENDING           0:00
    253233   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=801_seed2=825_random  aronton PENDING           0:00
    253234   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=826_seed2=850_random  aronton PENDING           0:00
    253235   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=851_seed2=875_random  aronton PENDING           0:00
    253236   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=876_seed2=900_random  aronton PENDING           0:00
    253237   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=901_seed2=925_random  aronton PENDING           0:00
    253238   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=926_seed2=950_random  aronton PENDING           0:00
    253239   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=951_seed2=975_random  aronton PENDING           0:00
    253240   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=976_seed2=1000_rando  aronton PENDING           0:00
